Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,High income,HIC,3999639926.53042,4360429950.80352,4072120010.85281,4557089978.27768,3294949999.06421,4116689990.66204,4304200015.0457,4045369986.51177,3548519987.10632,4029199983.50739,3663700038.20956,3870510030.15041,3972800011.76521,3835360054.82823,3723970011.01822,4980230079.48697,5600100101.48585,6549950116.96965,5132630107.49221,6120820036.51932,5136039908.06267,5410909997.41852,4649880009.38669,5748720009.5579,5419179972.55176,6505970088.07957,6467839917.40644,4728879980.43001,4187600100.18572,4274030113.57784,7132700037.80723,10824440037.6529,8508909878.65254,6763819936.55861,8142339864.46261,7772879919.43955,8082739973.96231,6142099932.90901,7859600026.39889,7141769982.03993,7835430042.07686,6883560012.36849,6163490036.12251,6141089954.84561,6941160044.6254,537659992.933273,602010000.616312,473710009.336472,702540005.683899,742379989.147186,710269999.027252,530170007.705688,450189997.076988,367869991.064072,233989994.764328,233829999.804497,331209997.937083,251749998.092651,247939998.626709,204170000.076294,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,20201269633.323,20580929808.043,18059810036.6891,20475650172.3305,24857540266.633,29078899709.7388,27667700483.799,24555409538.7831,25105770017.0279,23771889740.9998,27638840435.1026,28990550276.5738,26501359882.6416,25214109786.6055,25433910246.4393,26964350012.6898,24332309857.7112,23334890091.5533,22861159810.6325,23847660051.6923,37287260193.6255,42308879504.7496,35403640251.0591,32746619822.4519,33217930035.1143,32035300016.1648,28615540042.4004,26278149885.1777,29563780136.5853,33010000273.7045,31508129934.7878,32309580021.8582,32220969901.0849,31774579946.3466,33335430045.9326,50520370511.7703,34622989981.1745,32518789772.7489,35731890527.7252,29286500072.7177,26628720029.8309,29435160006.2847,28753159882.9031,31795670157.671,33257469982.2665,32790739876.3895,34677069758.4599,33035069862.6042,28451030386.4479,26459299699.7833,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,32074869595.0806,32889509737.2011,31050010135.2036,36153650141.9544,46588460206.4267,54230239565.2309,50623550456.1663,47935889491.7146,49861220059.7208,53325189865.5258,59224790496.7815,59432480180.4387,57615309787.6199,53685909810.3997,55440730057.3066,58630029874.7122,55537619760.9753,53871780120.7453,53431239942.668,55894339865.0773,71401139982.1733,75434649660.0304,67174660185.4302,62572359804.282,65926069886.9825,60019369811.3151,53558520039.1934,50570599790.5136,54603100133.8959,56882350238.3232,55904379982.4715,62699579848.2895,67536749845.9816,70031060159.9887,71187229828.6856,95757310238.5998,88024439977.1691,79160709646.9402,82904850634.5749,84985500028.8487,85826350451.4695,87545460306.8829,88137929891.4671,96344920145.2733,94369130348.3248,100238500048.28,104073439678.237,110532859818.697,107906229951.382,112203439371.109,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,5235180005.55038,4914429911.61347,4176170084.47647,3529479968.65213,4328750042.9526,5428990126.25218,6197300018.66818,4527509977.3407,4562390047.81656,4665850029.82616,5948280019.64093,5259420011.40119,5747339940.60755,4944289968.25218,5413619927.40631,5151249959.94568,4988490006.80446,4458430040.3595,5505640103.60651,6522719921.11206,5911479866.17685,5684260100.12626,5910069909.4087,5283059896.64793,5765369987.78581,3878289970.89341,4248210055.46302,4247769976.5563,4131880037.78458,3675890006.06537,3868500014.30512,5779269864.08234,6251340000.62943,4896550067.42478,5311069990.15809,12903089874.2676,18685179854.393,9080969966.88843,6408230097.77069,9038139986.03821,10743160161.9721,10434069921.4935,9578400072.57462,10873500107.7652,11466149971.0083,12312799974.4415,11246750008.5831,12444749878.8834,11135799950.5997,14213820003.5095,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,6638419956.20728,7394150017.54463,8814030014.03809,12148520000.9719,17402169896.8411,19722349729.2399,16758549953.6991,18852969975.5907,20193059994.8764,24887450094.6999,25637670042.038,25182509892.4637,25366609964.3707,23527510055.542,24593199883.461,26514429902.0767,26216819896.4596,26078459988.8325,25064440028.429,25523959892.273,28202399922.3709,27441510055.1546,25860950024.9624,24542680085.1822,26942769864.0824,24105779824.2569,20694769941.33,20044679928.7796,20907439959.5261,20196459958.5533,20527750033.3786,24610729962.3489,29064439944.2673,33359930146.2174,32540729792.5949,32333849852.562,34716270141.6016,37560949907.3029,40764730009.079,46660859970.0928,48454470259.6665,47676230379.1046,49806369935.9894,53675749879.8371,49645510395.0501,55134960197.4487,58149619911.1939,65053040077.2095,68319399614.3341,71530319667.8162,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,11873599961.7577,12308579929.1581,12990200098.5146,15677999969.624,21730919939.7937,25151339855.4921,22955849972.3673,23380479952.9314,24755450042.693,29553300124.526,31585950061.6789,30441929903.8649,31113949904.9783,28471800023.7942,30006819810.8673,31665679862.0224,31205309903.264,30536890029.192,30570080132.0355,32046679813.385,34113879788.5478,33125770155.2808,31771019934.3711,29825739981.8301,32708139851.8682,27984069795.1503,24942979996.793,24292449905.3359,25039319997.3106,23872349964.6187,24396250047.6837,30389999826.4313,35315779944.8967,38256480213.6421,37851799782.753,45236939726.8296,53401449995.9946,46641919874.1913,47172960106.8497,55698999956.131,59197630421.6385,58110300300.5982,59384770008.564,64549249987.6023,61111660366.0584,67447760171.8903,69396369919.777,77497789956.0929,79455199564.9338,85744139671.3257,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,7102249784.89429,6865019919.15703,6981369956.83611,6126900181.68092,8207580026.86501,7112150014.04285,6252240041.61358,8220840006.14286,7805380029.32072,7381360018.62586,8960400033.41064,11031520029.664,9902849944.94916,9202769908.66661,9535970107.67461,11143980145.216,9055979956.86531,9030810057.04403,9139159941.43487,9709910013.67569,14209620158.1955,16935079918.5634,16047570023.5367,16741200072.6461,17391059801.1017,18309299845.6955,14568500013.8283,13650799964.3684,16541180046.7074,19398859932.6611,18858430053.4725,18521309981.3461,18734499913.6925,17108740117.5499,17771769975.9603,11395859948.1583,12612109882.3548,12188520052.433,12758569993.0191,13186210026.0258,11465909979.3434,12392589986.8012,14122829978.466,12578240001.6785,13834919878.9597,13438010026.2165,12984139667.511,13337339781.7612,9774710095.40558,8858839910.50721,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Latin America & Caribbean,LCN,1915540014.35637,5468390013.90338,5589079946.33913,5723120002.40386,4741300053.5965,5753509987.41388,5859950058.34103,4746160002.70844,4844189981.13275,4070109968.90068,4220189959.52606,3558559987.4258,3438809988.02185,3296740024.90193,3463569966.55464,3757910020.35141,3559149976.25351,3097949955.70183,3391720008.37326,3723540010.92911,4202460013.62801,4784139969.11049,5328339944.72027,5706240011.096,6059909983.75416,7033279924.07978,6679989991.42647,7110309985.04162,6926540056.94389,7627979997.99252,7544259989.02321,8233049942.64245,7072339939.22919,7251130049.6161,7710239986.18126,7311720065.11688,8994099936.96213,6917069913.05947,7236680072.90363,7716649956.8224,6638499981.01592,8344010018.88514,6965689937.05511,7531449991.29325,7810570009.91702,7351479972.60094,7857670021.9214,6924279982.32841,8649659962.89253,8619619994.28272,9752969945.43076,9449359908.37216,9820279987.216,9753770026.92223,9443619977.71263,10803890136.1227,12073689921.9006,8861500030.27916,10299439984.3216,9025420013.42773,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Latin America & Caribbean (excluding high income),LAC,1446950017.92908,4309580024.45102,3663239937.12664,4197850005.14984,4326940055.13191,5392349983.45375,4914100067.61551,3854780008.31604,4165039997.10083,3377269976.13907,3782739969.73038,3222869996.07086,3030589982.03278,2899660016.29829,3204609965.3244,3188000010.49042,3409059977.53143,2921779958.72498,3285530011.17706,3644200012.44545,3998870010.85281,4550019969.94019,5097019943.2373,5431390014.64844,5776989982.12814,6614489923.47717,6223229997.63489,6696619991.30249,6383950057.02972,6890640000.34332,6836329981.80389,7479289949.41711,6327179924.9649,6342220052.71912,7045079977.03552,6767490060.80627,8455799938.67874,6456479908.61535,6784890074.87893,7357229960.08397,6274399978.48869,7883850017.90524,6623079944.49139,7014819991.46938,7513280003.66688,6963009979.24805,7510340023.04077,6553469987.86926,8285049960.13641,8306969989.77661,9304389951.70593,9119189905.16663,9435369991.77933,9537770028.11432,9038039979.93469,10702510134.697,11811399924.2783,8643810033.79822,10059729989.0518,8689560010.91003,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..,..,..,..,..,..,..,..,3821139957.42798,3126699983.5968,3067509984.01642,2878380019.38909,2957499978.06549,3209320003.50952,2941359983.44421,2546389959.33533,2877500010.49042,3230480001.44959,3571170026.77917,4276569955.58739,4691159962.17728,4960680008.88824,5406159974.57504,6098919923.30552,5880279996.87195,6316489975.92926,6070330070.49561,6658359996.79565,6686079983.71124,7399829944.13376,6248949934.00574,6457360034.70421,6610649972.91565,6424270055.05562,6110099940.29999,5562699919.70062,5543190025.32959,5957839975.8339,4994139998.43598,7241530038.83362,6065679945.4689,6405839996.64336,6228989973.8729,6147819955.58739,6789010014.05717,5717060011.14846,6738739998.81745,7074119987.01096,8248469970.22629,7986769945.14465,7580420038.10406,7188100027.79961,7175920018.91137,7913550143.59952,7473339984.46167,6651680015.32555,7997159985.5423,7056220043.18238,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Least developed countries: UN classification,LDC,..,..,..,..,..,..,..,..,..,..,5473149956.61378,6381460031.21883,7747470042.64593,9472490030.32595,13441080013.1932,15554399836.8383,13063209971.0703,14683140072.9418,16608009911.0287,18373950023.5319,19587220055.4609,19633959955.0963,21262399909.5559,20099280129.1943,21421149883.2703,23486979887.9623,22914849982.3809,22897589972.7345,22379730009.5838,22762449893.9514,23953149918.7052,22986770093.6794,22617620000.1985,21292770135.1046,22051819978.0583,20185349846.3817,16830719950.7877,17228419939.4584,16930449951.6487,16672219968.3189,17733819962.5015,20796619959.8312,25368099902.153,30394640162.468,29410679734.23,29084739802.3606,31302650152.2064,34729049825.6683,37415490011.2152,40164670068.7409,43651830214.5004,42256870412.8265,41534260000.2289,45729329856.8726,41868640405.6549,45574500339.5081,45983109914.7797,50877709636.6883,53877199548.7213,56610709609.9854,..,..
Net official development assistance and official aid received (constant 2018 US$),DT.ODA.ALLD.KD,Low & middle income,LMY,29260490234.375,35748691406.25,35951570312.5,37337281250,36647199218.75,38977851562.5,38669859375,39416640625,34502140625,32977109375,36445488281.25,38968519531.25,37416230468.75,44711460937.5,55534031250,62138101562.5,57081789062.5,53761140625,65310117187.5,65065031250,73243679687.5,72784898437.5,68113382812.5,64250792968.75,68695710937.5,71414695312.5,68834335937.5,67510984375,67802203125,70227757812.5,81442895629.8828,86264211425.7813,80449550292.9688,78572548339.8438,80204279785.1563,71920888671.875,68090011718.75,66778877929.6875,71517615234.375,74201148437.5,73457975097.6563,78845943115.2344,90370541015.625,92113780517.5781,94913067382.8125,120953437500,115651320312.5,108653601562.5,120612781250,124307554687.5,127240195312.5,130188937500,127422171875,142250500000,151948312500,153522593750,166552093750,170051296875,165768703125,170692453125,..,..
